o'simlik_id,tur,nomi,ilmiy_nomi,turi_guruh,tavsif,parvarish,foydalanish,mintaqa
79,klyukva,Klyukva,Vaccinium oxycoccos,rezavor meva,"Klyukva - Ericaceae oilasiga mansub, qizil nordon rezavor mevali past buta.","Sovuqqa chidamli, kislotali tuproqlarni afzal ko'radi, namlikni sevadi.","Yangi holda iste'mol qilinadi, mors, ichimliklar tayyorlashda ishlatiladi.","O'zbekiston, tog'li hududlar"
80,qizilcha,Qizilcha,Beta vulgaris,sabzavot,"Qizilcha - Amaranthaceae oilasiga mansub, qizil ildizmevali sabzavot.","Sovuqqa chidamli, unumdor tuproq zarur, ko'p namlikni talab qiladi.","Pishirishda, salatlarda, sharbat tayyorlashda ishlatiladi.","O'zbekiston, Markaziy Osiyo"
81,bangidevona,Bangidevona,Datura stramonium,zaharli o'simlik,"Bangidevona - Solanaceae oilasiga mansub, zaharli, oq gulli o'simlik.","Har xil tuproqlarda o'sa oladi, quruqchilikka chidamli, begona o't sifatida o'sadi.","Dorivor, lekin juda zaharli, faqat shifokorlar nazoratida ishlatiladi.","O'zbekiston, Markaziy Osiyo"
82,sachratqi,Sachratqi,Cichorium intybus,dorivor o'simlik,"Sachratqi - Asteraceae oilasiga mansub, ko'k gulli ko'p yillik dorivor o'simlik.","Har xil tuproqlarda o'sa oladi, quruqchilikka chidamli, yo'l bo'ylarida ko'p uchraydi.","Dorivor, jigar kasalliklarida, salatlarda ishlatiladi.","O'zbekiston, Markaziy Osiyo"
83,na'matak,Na'matak,Rosa canina,dorivor o'simlik,"Na'matak - Rosaceae oilasiga mansub, qizil mevalari dorivor bo'lgan tikanli buta.","Quruqchilikka chidamli, har xil tuproqlarda o'sa oladi, quyoshli joylarda o'sadi.","Mevasi sharbat, damlamalar tayyorlashda, C vitamini manbai sifatida ishlatiladi.","O'zbekiston, Markaziy Osiyo"
84,dalachoy,Dalachoy,Hypericum perforatum,dorivor o'simlik,"Dalachoy - Hypericaceae oilasiga mansub, sariq gulli ko'p yillik dorivor o'simlik.","Har xil tuproqlarda o'sa oladi, quruqchilikka chidamli, quyoshli joylarda o'sadi.","Dorivor, asab kasalliklarida, damlamalar tayyorlashda ishlatiladi.","O'zbekiston, Markaziy Osiyo"
85,moychechak,Moychechak,Matricaria chamomilla,dorivor o'simlik,"Moychechak - Asteraceae oilasiga mansub, oq gulli dorivor o'simlik.","Har xil tuproqlarda o'sa oladi, tez o'sadi, quyoshli joylarda o'sadi.","Dorivor, oshqozon-ichak kasalliklarida, teri muammolarida ishlatiladi.","O'zbekiston, Markaziy Osiyo"
86,zubturum,Zubturum,Plantago major,dorivor o'simlik,"Zubturum - Plantaginaceae oilasiga mansub, keng yaprog'li dorivor o'simlik.","Har xil tuproqlarda o'sa oladi, namlikni sevadi, yo'l bo'ylarida ko'p uchraydi.","Dorivor, yaralarni davolashda, yo'tal, nafas yo'llari kasalliklarida ishlatiladi.","O'zbekiston, Markaziy Osiyo"
87,qirqbo'g'im,Qirqbo'g'im,Equisetum,dorivor o'simlik,"Qirqbo'g'im - Equisetaceae oilasiga mansub, qadimiy dorivor o'simlik.","Namlikni sevadi, soyali joylarda o'sadi, tuproq muhitini tanlamaydi.","Dorivor, siydik haydovchi, buyrak kasalliklarida ishlatiladi.","O'zbekiston, Markaziy Osiyo"
88,isiriq,Isiriq,Peganum harmala,dorivor o'simlik,"Isiriq - Nitrariaceae oilasiga mansub, oq gulli dorivor o'simlik.","Quruqchilikka chidamli, sho'rlangan tuproqlarda ham o'sa oladi, issiq iqlimni sevadi.","Dorivor, tutatqi tayyorlashda, xalq tabobatida ishlatiladi.","O'zbekiston, Markaziy Osiyo"
89,gazanda,Gazanda,Urtica dioica,dorivor o'simlik,"Gazanda - Urticaceae oilasiga mansub, kuydiruvchi tukli dorivor o'simlik.","Unumdor tuproqlarda yaxshi o'sadi, soyali joylarda o'sa oladi, azotga boy tuproqni sevadi.","Dorivor, qon to'xtatishda, oziq-ovqatda, sochlar parvarishida ishlatiladi.","O'zbekiston, Markaziy Osiyo"
90,ravoch,Ravoch,Rheum,dorivor o'simlik,"Ravoch - Polygonaceae oilasiga mansub, yo'g'on poyali, nordon ta'mli o'simlik.","Unumdor tuproq sevadi, namlikni xush ko'radi, sovuqqa chidamli.","Yangi poyasi iste'mol qilinadi, dorivor, kompot, piroglar tayyorlashda ishlatiladi.","O'zbekiston, Markaziy Osiyo"
91,qalampirmunchoq,Qalampirmunchoq,Capsicum annuum,sabzavot,"Qalampirmunchoq - Solanaceae oilasiga mansub, mayda, juda achchiq mevali sabzavot.","Issiq iqlimni sevadi, quyoshli joylarda o'sadi, muntazam sug'orishni talab qiladi.","Ovqatlarga ziravor sifatida, o'tkir ta'mi uchun ishlatiladi.","O'zbekiston, Markaziy Osiyo"
92,chaman_guli,Chaman guli,Calendula officinalis,manzarali gul,"Chaman guli - Asteraceae oilasiga mansub, to'q sariq yoki zarg'aldoq rangli manzarali va dorivor gul.","Quyoshli joylarda o'sadi, quruqchilikka chidamli, unchalik unumdor bo'lmagan tuproqlarda ham o'sa oladi.","Manzarali, dorivor, kosmetikada, teri kasalliklarini davolashda ishlatiladi.","O'zbekiston, Markaziy Osiyo"
93,nastarin,Nastarin,Syringa,manzarali buta,"Nastarin - Oleaceae oilasiga mansub, xushbo'y manzarali gullari bo'lgan buta.","Quyoshli joylarda o'sadi, sovuqqa chidamli, har xil tuproqlarda o'sa oladi.","Manzarali, bog'dorchilikda, parfyumeriyada ishlatiladi.","O'zbekiston, Markaziy Osiyo"
94,atirgul,Atirgul,Rosa,manzarali gul,"Atirgul - Rosaceae oilasiga mansub, xushbo'y gullari bo'lgan tikanli buta.","Quyoshli joylarda o'sadi, muntazam kesishni talab qiladi, unumdor tuproq zarur.","Manzarali, parfyumeriyada, gulqaynatma, kosmetika tayyorlashda ishlatiladi.","O'zbekiston, Markaziy Osiyo"
95,lola,Lola,Tulipa,manzarali gul,"Lola - Liliaceae oilasiga mansub, bahor faslida ochiluvchi gul.","Quyoshli joylarda o'sadi, sovuqqa chidamli, drenajli tuproqni sevadi.","Manzarali, gulchilikda, bog'dorchilikda ishlatiladi.","O'zbekiston, Markaziy Osiyo"
96,binafsha,Binafsha,Viola,manzarali gul,"Binafsha - Violaceae oilasiga mansub, mayda, binafsha rangdagi gullari bo'lgan o'simlik.","Yarim soyada o'sa oladi, namlikni sevadi, unumdor tuproq zarur.","Manzarali, dorivor, parfyumeriyada ishlatiladi.","O'zbekiston, Markaziy Osiyo"
97,oleandra,Oleandra,Nerium oleander,manzarali gul,"Oleandra - Apocynaceae oilasiga mansub, chiroyli gullari bo'lgan, ammo zaharli o'simlik.","Issiq iqlimni sevadi, quruqchilikka chidamli, quyoshli joylarda o'sadi.","Manzarali, bog'dorchilikda ishlatiladi, lekin zaharli.","O'zbekiston janubi"
98,gortenziya,Gortenziya,Hydrangea,manzarali gul,"Gortenziya - Hydrangeaceae oilasiga mansub, yirik, sharsimom gullari bo'lgan manzarali buta.","Yarim soyada o'sa oladi, namlikni sevadi, kislotali tuproqlarni afzal ko'radi.","Manzarali, bog'dorchilikda, gulchilikda ishlatiladi.","O'zbekiston, Markaziy Osiyo"
99,kaktus,Kaktus,Cactaceae,sukkulentlar,"Kaktus - Cactaceae oilasiga mansub, suv to'plovchi, tikanlari bo'lgan o'simliklar oilasi.","Quruqchilikka chidamli, kam sug'orishni talab qiladi, quyoshli joylarda o'sadi.","Manzarali, xonaki o'simlik sifatida, ba'zi turlari mevasi uchun ishlatiladi.","O'zbekiston, issiqxona"
100,aloe,Aloe,Aloe vera,sukkulentlar,"Aloe - Asphodelaceae oilasiga mansub, qalin, sersuv bargli dorivor o'simlik.","Quruqchilikka chidamli, kam sug'orishni talab qiladi, quyoshli joylarda o'sadi.","Dorivor, kosmetikada, teri muammolarini davolashda ishlatiladi.","O'zbekiston, issiqxona"
101,bambuk,Bambuk,Bambusoideae,manzarali o'simlik,"Bambuk - Poaceae oilasiga mansub, tez o'suvchi, poyasi qattiq o'simlik.","Namlikni sevadi, issiq iqlimni afzal ko'radi, unumdor tuproq zarur.","Qurilish materiallari, mebel tayyorlash, manzarali o'simlik sifatida ishlatiladi.","O'zbekiston, issiqxona"
102,evkalipt,Evkalipt,Eucalyptus,dorivor daraxt,"Evkalipt - Myrtaceae oilasiga mansub, xushbo'y hidli, tez o'suvchi daraxt.","Issiq iqlimni sevadi, quruqchilikka chidamli, quyoshli joylarda o'sadi.","Dorivor, efir moyi, parfyumeriya, qurilish materiallari olishda ishlatiladi.","O'zbekiston janubi, issiqxona"
103,palma,Palma,Arecaceae,manzarali daraxt,"Palma - Arecaceae oilasiga mansub, tropik va subtropik iqlimda o'suvchi daraxt.","Issiq iqlimni sevadi, quyoshli joylarda o'sadi, namlikni sevadi.","Manzarali, meva olish, yog' olish, qurilish materiallari sifatida ishlatiladi.","O'zbekiston janubi, issiqxona"
104,magnoliya,Magnoliya,Magnolia,manzarali daraxt,"Magnoliya - Magnoliaceae oilasiga mansub, chiroyli, yirik gulli manzarali daraxt.","Issiq iqlimni afzal ko'radi, yarim soyada o'sa oladi, chuqur tuproq zarur.","Manzarali, bog'dorchilikda, parfyumeriyada ishlatiladi.","O'zbekiston, issiqxona"
105,marvaridgul,Marvaridgul,Convallaria majalis,manzarali gul,"Marvaridgul - Asparagaceae oilasiga mansub, oq, qo'ng'iroqsimon gullari bo'lgan o'simlik.","Yarim soyada o'sa oladi, namlikni sevadi, unumdor tuproq zarur.","Manzarali, dorivor, parfyumeriyada ishlatiladi, lekin zaharli.","O'zbekiston, Markaziy Osiyo"
