kasallik_id,kasallik_kodi,o'simlik_turi,nomi,ilmiy_nomi,jiddiylik,tavsif,belgilari,davolash,o'g'itlar,oldini_olish
33,lavlagi_rizomania,lavlagi,"Lavlagi rizomaniyasi","Beet necrotic yellow vein virus","Juda jiddiy","Rizomania - virus qo'zg'atadigan kasallik bo'lib, lavlagi ildizlarini zararlaydi. Kasallik tuproqda yashovchi zamburug' orqali tarqaladi.","Ildizlar sochsimon ko'rinishga keladi. Barglar oqish-sariq rangga kiradi, tomirlar orasida nekrozlar paydo bo'ladi. Hosildorlik keskin pasayadi.","1. Karantin choralariga rioya qiling. 2. Kasallikka chidamli navlarni tanlang. 3. Ekin aylantirishni qo'llang. 4. Zararlangan o'simliklarni yo'q qiling.","Kaliy o'g'itlari,Mikroelementli o'g'itlar,Fosforli o'g'itlar","Faqat kasallikka chidamli navlarni ekish. Ekin aylantirishni qo'llang. Lavlagini 4-5 yil mobaynida bir joyda ekishdan saqlaning. Tuproqni zararsizlantirish."
34,lavlagi_fuzarioz,lavlagi,"Lavlagi fuzariozi","Fusarium oxysporum","Jiddiy","Fuzarioz - zamburug' qo'zg'atadigan kasallik bo'lib, lavlagi ildizlarini zararlaydi. Kasallik tuproq orqali tarqaladi.","Barglar sarg'ayadi va so'lib qoladi. Ildizlar qo'ng'ir rangga kiradi, chirishga boshlanadi. O'simlik sekin-asta qurib qoladi.","1. Zararlangan o'simliklarni yo'q qiling. 2. Trichoderma tarkibli biologik preparatlar qo'llang. 3. Tuproqni dezinfeksiya qiling.","Trichoderma preparati,Gumat preparatlari,Mikroelementli o'g'itlar","Kasallikka chidamli navlarni tanlang. Ekin aylantirishni qo'llang. Lavlagini har yili bir joyda ekishdan saqlaning. Tuproqni quyosh bilan zararsizlantiring."
35,shaftoli_barg_bujmayishi,shaftoli,"Shaftoli bargi bujmayishi","Taphrina deformans","Jiddiy","Barg bujmayishi - zamburug' qo'zg'atadigan kasallik bo'lib, shaftoli barglarini zararlaydi. Kasallik bahorda, sovuq va nam ob-havoda rivojlanadi.","Barglar qizg'ish, shishgan va bujmaygan ko'rinishda bo'ladi. Barglar qalinlashadi, mo'rt bo'lib qoladi. Zararlangan barglar qurib to'kiladi.","1. Bahor boshida, kurtak chiqishidan oldin mis tarkibli preparatlar bilan ishlov bering. 2. Zararlangan barglarni yig'ib oling. 3. Sistematik fungitsidlar qo'llang.","Mis oksixlorid,Dodzin,Kaptafol","Kasallikka chidamli navlarni tanlang. Bahor boshida, kurtak chiqishidan oldin profilaktik ishlov bering. Kuzda tushgan barglarni yig'ib oling."
36,shaftoli_monilioz,shaftoli,"Shaftoli moniliozi","Monilinia spp.","Jiddiy","Monilioz - zamburug' qo'zg'atadigan kasallik bo'lib, shaftoli gullarini, novdalarini va mevalarini zararlaydi. Kasallik nam ob-havoda tez rivojlanadi.","Gullar va yosh novdalar qo'ng'ir rangga kirib quriydi. Mevalarda qo'ng'ir dog'lar paydo bo'ladi, keyinchalik oq-kulrang mog'or paydo bo'ladi. Mevalar chiriydi va daraxtda osilib qoladi.","1. Fungitsidlar bilan gullash davrida ishlov bering. 2. Zararlangan qismlarni kesib tashlang. 3. Qurib qolgan mevalarni yig'ib oling.","Iprodione,Tebukonazol,Boskalid","Daraxtlarni to'g'ri butang. Havo aylanishini ta'minlang. Kuzda qurib qolgan mevalarni yig'ib oling. Gullash davrida profilaktik ishlov bering."
37,shaftoli_bargxo'r,shaftoli,"Shaftoli bargxo'ri","Anarsia lineatella","Jiddiy","Bargxo'r - hasharot zararkunandasi, uning qurti novdalar va mevalarni zararlaydi. Har yili 2-3 avlod berishi mumkin.","Novdalar uchi so'lib qoladi. Yosh novdalar ichida qurtlar va ularning chiqindilari. Mevalarda kirishga mo'ljallangan teshiklar va qurtlar.","1. Insektitsidlar bilan o'z vaqtida ishlov bering. 2. Feromon tutqichlar o'rnating. 3. Biologik kurash vositalari qo'llang.","Organik o'g'itlar,Aminokislotali o'g'itlar,Kaliy sulfat","Daraxtlar atrofini tozalab turing. Zararlangan novdalarni kesib tashlang. Kapalak paydo bo'lish vaqtida profilaktik ishlov bering."
38,shaftoli_klasterospo'rioz,shaftoli,"Shaftoli klasterospo'riozi","Clasterosporium carpophilum","O'rta","Klasterospo'rioz - zamburug' qo'zg'atadigan kasallik bo'lib, shaftoli barglarini, novdalarini va mevalarini zararlaydi. Kasallik nam ob-havoda rivojlanadi.","Barglarda qizil hoshiyali dumaloq dog'lar paydo bo'ladi. Dog'lar qurigach, teshiklar hosil bo'ladi ('o'q teshigi' effekti). Novdalarda qo'ng'ir dog'lar va yelim ajralishi. Mevalarda botiq dog'lar.","1. Fungitsidlar bilan o'z vaqtida ishlov bering. 2. Zararlangan qismlarni kesib tashlang. 3. Mis tarkibli preparatlar bilan ishlov bering.","Mis oksixlorid,Triazol fungitsidlar,Kaptafol","Daraxtlarni to'g'ri butang. Zararlangan qismlarni kesib tashlang. Kuzda tushgan barglarni yig'ib oling. Bahorda kurtak chiqishidan oldin profilaktik ishlov bering."
39,nok_bakterial_kuyish,nok,"Nok bakterial kuyishi","Erwinia amylovora","Juda jiddiy","Bakterial kuyish - bakteriyalar qo'zg'atadigan xavfli kasallik. U gullar, barglar, novdalar va mevalarga ta'sir qiladi. Kasallik gullar orqali kiradi va novdalar bo'ylab tarqaladi.","Gullar va barglar qorayib, kuyganday ko'rinadi. Novdalar qorayib, uchi bukiladi ('cho'pon tayog'i' effekti). Mevalarda qora dog'lar paydo bo'lib, qurib qoladi.","1. Zararlangan qismlarni kesib tashlang, kesish joyini dezinfeksiya qiling. 2. Mis tarkibli preparatlar bilan ishlov bering. 3. Streptomitsin tarkibli antibiotiklar qo'llang.","Mis oksixlorid,Streptomitsin,Kalsiy preparatlari","Kasallikka chidamli navlarni tanlang. Gullash davrida profilaktik ishlov bering. Bog'ni muntazam kuzatib, zararlangan qismlarni darhol olib tashlang."
40,nok_mevaqurt,nok,"Nok mevaqurti","Cydia pyrivora","Jiddiy","Mevaqurt - hasharot zararkunandasi, uning qurti nok mevasining ichiga kirib, uni zararlaydi. Har yili 1-2 avlod berishi mumkin.","Mevalarda kirishga mo'ljallangan teshiklar. Meva ichida qizg'ish-jigarrang qurt. Meva ichida qurt chiqindilari. Mevalarning vaqtidan oldin to'kilishi.","1. Insektitsidlar bilan o'z vaqtida ishlov bering. 2. Feromon tutqichlar o'rnating. 3. Biologik kurash vositalari qo'llang.","Organik o'g'itlar,Aminokislotali o'g'itlar,Kaliy sulfat","Daraxtlar atrofini tozalab turing. Tushgan mevalarni yig'ib oling. Kapalak paydo bo'lish vaqtida profilaktik ishlov bering. Qushlarni jalb qiling."
41,nok_parsha,nok,"Nok parshasi","Venturia pirina","Jiddiy","Parsha - zamburug' qo'zg'atadigan kasallik bo'lib, nok barglarini, mevalarini va yosh novdalarini zararlaydi. Bahor va yoz boshida namlik yuqori bo'lganda tez tarqaladi.","Barglarda va mevalarda yashil-qo'ng'ir, keyinchalik qoramtir dog'lar paydo bo'ladi. Zararlangan joylar qo'pol, yorilgan ko'rinishga ega bo'ladi. Mevalar shakli buziladi.","1. Fungitsidlar bilan bahor va yoz boshida muntazam ishlov bering. 2. Daraxtlarni butash orqali havo aylanishini ta'minlang. 3. Zararlangan qismlarni kesib tashlang.","Mis oksixlorid,Triazol fungitsidlar,Kaliy fosfat","Kuzda tushgan barglarni yig'ib oling. Daraxtlarni to'g'ri butang. Kasallikka chidamli navlarni tanlang. O'z vaqtida profilaktik ishlov bering."
42,nok_psilla,nok,"Nok psillasi","Cacopsylla pyri","Jiddiy","Psilla - hasharot zararkunandasi, u barglardan shira so'rib oziqlanadi va qandli chiqindilar ajratadi. Bir yilda 3-5 avlod berishi mumkin.","Barglar buraladi, quriydi. Barglar va novdalarda yopishqoq modda (qandli chiqindilar). Yopishqoq modda ustida qora qoplam (qorakuya zamburug'i). O'simlik zaiflashadi.","1. Insektitsidlar bilan o'z vaqtida ishlov bering. 2. Mineral moylar qo'llang. 3. Yirtqich hasharotlarni qo'yib yuborish orqali biologik kurash olib boring.","Kalsiy nitrat,Magniy sulfat,Temir sulfat","Bahorda daraxt kurtak chiqarishidan oldin mineral moylar bilan ishlov bering. Yirtqich hasharotlarni jalb qiling. Daraxtlarni me'yorida sug'oring."
43,baqlajon_fitoftoroz,baqlajon,"Baqlajon fitoftorozi","Phytophthora capsici","Juda jiddiy","Fitoftoroz - zamburug' qo'zg'atadigan kasallik bo'lib, baqlajon o'simligining barcha qismlarini zararlaydi. Kasallik namlik yuqori bo'lganda tez tarqaladi.","Barglarda qo'ng'ir dog'lar paydo bo'ladi. Poyalar qorayib, o'simlik so'liydi. Mevalar qo'ng'ir tus olib, chiriydi. Ildiz bo'yni qorayib, o'simlik qurib qoladi.","1. Zararlangan o'simliklarni olib tashlang. 2. Mis tarkibli fungitsidlar bilan ishlov bering. 3. Sug'orishni tartibga soling, ortiqcha namlikdan saqlaning.","Kaliy fosfit,Mis oksixlorid,Azoksistrobin","Kasallikka chidamli navlarni tanlang. Ekin aylantirishni qo'llang. O'simliklarni ko'tarilgan egatga eking. Tomchilatib sug'orish usulidan foydalaning."
44,baqlajon_alternarioz,baqlajon,"Baqlajon alternariozi","Alternaria solani","O'rta","Alternarioz - zamburug' qo'zg'atadigan kasallik, barglarni, poyalarni va mevalarni zararlaydi. Kasallik issiq va nam ob-havoda rivojlanadi.","Barglarda konsentrik halqalar bilan chegaralangan qo'ng'ir dog'lar paydo bo'ladi. Kasallik pastki barglardan boshlanib, yuqoriga ko'tariladi. Mevalarda qattiq, botiq dog'lar paydo bo'ladi.","1. Zararlangan qismlarni kesib tashlang. 2. Fungitsidlar bilan ishlov bering. 3. Kaliy tarkibli o'g'itlarni ko'proq qo'llang.","Kaliy sulfat,Mis oksixlorid,Triazol fungitsidlar","Kasallikka chidamli navlarni tanlang. Ekin aylantirishni qo'llang. Baqlajonni ikki yil ketma-ket bir joyda ekishdan saqlaning. O'simliklar orasida yetarli masofa qoldiring."
45,baqlajon_bakterioz,baqlajon,"Baqlajon bakterial dog'lanishi","Xanthomonas campestris","Jiddiy","Bakterial dog'lanish - bakteriyalar qo'zg'atadigan kasallik bo'lib, barglarda, poyalarda va mevalarda dog'lar paydo qiladi. Kasallik nam ob-havoda tez tarqaladi.","Barglarda kichik, qoramtir-yashil, suvga to'yingan dog'lar. Keyinchalik dog'lar quriydi va qo'ng'ir tus oladi. Mevalarda qora, qattiq dog'lar paydo bo'ladi.","1. Zararlangan qismlarni kesib tashlang. 2. Mis tarkibli preparatlar bilan ishlov bering. 3. Antibakterial preparatlar qo'llang. 4. Barglarni ho'llamasdan, ildiz atrofidan sug'oring.","Mis sulfat,Streptomitsin,Aminokislotali o'g'itlar","Kasallikka chidamli navlarni tanlang. Baqlajon va boshqa ituzumdoshlar orasidagi masofani ko'paytiring. O'simliklarni ertalab sug'oring."
46,karam_kila,karam,"Karam kilasi","Plasmodiophora brassicae","Juda jiddiy","Kila - zamburug' qo'zg'atadigan kasallik bo'lib, karam va boshqa karamguldoshlar oilasiga mansub o'simliklarning ildizlarini zararlaydi. Kasallik tuproq orqali tarqaladi.","Ildizlarda har xil shakldagi shishlar (gallar) paydo bo'ladi. O'simlik o'sishdan to'xtaydi, so'liydi. Barglar sarg'ayib, qurib qoladi. Karam boshi rivojlanmaydi.","1. Zararlangan o'simliklarni yo'q qiling. 2. Tuproqni ohaklang (pH 7.2 gacha ko'tarish). 3. Ekin aylantirishni qo'llang.","Kalsiy oksid,Kalsiy karbonat,Borat","Kasallikka chidamli navlarni tanlang. Ekin aylantirishni qo'llang. Karamni va boshqa karamguldoshlarni 7 yil mobaynida bir joyda ekishdan saqlaning. Tuproq pH darajasini nazorat qiling."
47,karam_bakterioz,karam,"Karam qora bakteriozi","Xanthomonas campestris","Jiddiy","Qora bakterioz - bakteriyalar qo'zg'atadigan kasallik bo'lib, barglarda V-shaklidagi sarg'ish dog'lar hosil qiladi. Kasallik yuqori namlikda rivojlanadi.","Barglarda tomirlar bo'ylab V-shaklidagi sarg'ish dog'lar paydo bo'ladi. Dog'lar qorayib, barglar qurib qoladi. Tomirlar qora rangga kiradi. Kasallik ichki qismlariga tarqalib, butun o'simlikni nobud qilishi mumkin.","1. Kasallangan o'simliklarni yo'q qiling. 2. Urug'larni dezinfeksiya qiling. 3. Mis tarkibli preparatlar bilan ishlov bering.","Mis oksixlorid,Streptomitsin,Kalsiy nitrat","Kasallikka chidamli navlarni tanlang. Ekin aylantirishni qo'llang. Sifatli, kasallikdan holi urug'lik ishlating. Tomchilatib sug'orish usulidan foydalaning."
48,karam_peronosporoz,karam,"Karam peronosporozi","Peronospora parasitica","Jiddiy","Peronosporoz - zamburug' qo'zg'atadigan kasallik bo'lib, karam barglarini zararlaydi. Kasallik nam va salqin ob-havoda rivojlanadi.","Barglarda sariq, keyinchalik qo'ng'ir dog'lar paydo bo'ladi. Barglarning pastki tomonida oq-kulrang mog'or hosil bo'ladi. Barglar sarg'ayib, qurib qoladi.","1. Mis tarkibli preparatlar bilan ishlov bering. 2. Fungitsidlar bilan o'z vaqtida ishlov bering. 3. Ekinlar orasida havo aylanishini ta'minlang.","Mis oksixlorid,Mankoseb,Propineb","Kasallikka chidamli navlarni tanlang. Ekin aylantirishni qo'llang. O'simliklar orasida yetarli masofa qoldiring. O'simliklarni ertalab sug'oring."
49,karam_kapalak,karam,"Karam oq kapalagi","Pieris brassicae","Jiddiy","Oq kapalak - hasharot zararkunandasi, uning qurtlari karam barglarini yeb, katta zarar yetkazadi. Bir yilda 2-3 avlod berishi mumkin.","Barglarda katta teshiklar, barglar skeleti qolishi. Barglarda yashil qurtlar va ularning chiqindilari. Barglar to'liq yeyilishi mumkin.","1. Insektitsidlar bilan o'z vaqtida ishlov bering. 2. Qurtlarni qo'lda yig'ib oling. 3. Biologik kurash vositalari (Bacillus thuringiensis) qo'llang.","Azotli o'g'itlar,Kaliy sulfat,Organik o'g'itlar","Ekin aylantirishni qo'll25,uzum_mildyu,uzum,"Uzum mildiyu","Plasmopara viticola","Jiddiy","Mildyu - uzum tokining eng xavfli kasalliklaridan biri. Kasallik namlik yuqori bo'lganda tez rivojlanadi va butun hosildorlikka ta'sir qiladi.","Barglarda yog'simon dog'lar paydo bo'ladi, keyinchalik qo'ng'ir rangga aylanadi. Barglarning pastki tomonida oq mog'or paydo bo'ladi. Zararlangan barglar qurib to'kiladi.","1. Mis tarkibli preparatlar bilan ishlov bering. 2. Barglararo masofani oshirish uchun tokni butang. 3. Sug'orishni tartibga soling. 4. Sistematik fungitsidlardan foydalaning.","Mis sulfat,Kaliy fosfonat,Organik fungitsidlar","Havo aylanishini ta'minlash, ertalab sug'orish, barglarni ho'llamaslik. Kasallikka chidamli navlarni tanlang. Toklar orasida yetarli masofa qoldiring."
50,karam_bug,karam,"Karam bug'i","Eurydema ventralis","O'rta","Karam bug'i - hasharot zararkunandasi, u karam barglaridan shira so'rib oziqlanadi. Bir yilda 2-3 avlod berishi mumkin.","Barglarda sarg'ish, keyinchalik qo'ng'ir dog'lar paydo bo'ladi. Barglar buraladi, quriydi. Barglarda qalqon shaklidagi hasharotlar va ularning tuxumlari.","1. Insektitsidlar bilan o'z vaqtida ishlov bering. 2. Buglarni qo'lda yig'ib oling. 3. Botanik insektitsidlar (neem moyi) qo'llang.","Kaliy sulfat,Kalsiy nitrat,Organik o'g'itlar","Ekin aylantirishni qo'llang. Karamni dorivor o'simliklar bilan aralashtirish. Bug'larga qarshi o'simliklar (ukrop, piyoz, sarimsoq) ekish. Bog'ni muntazam tekshirib, zararkunandalarni erta aniqlash."
51,piyoz_peronosporoz,piyoz,"Piyoz peronosporozi","Peronospora destructor","Jiddiy","Peronosporoz - zamburug' qo'zg'atadigan kasallik bo'lib, piyoz barglarini zararlaydi. Kasallik nam va iliq ob-havoda rivojlanadi.","Barglarda sariq-yashil dog'lar paydo bo'ladi. Barglarning pastki tomonida kulrang-binafsha mog'or hosil bo'ladi. Barglar so'liydi, qurib qoladi. Piyoz o'sishdan to'xtaydi.","1. Mis tarkibli preparatlar bilan ishlov bering. 2. Fungitsidlar bilan o'z vaqtida ishlov bering. 3. Ekinlar orasida havo aylanishini ta'minlang.","Mis oksixlorid,Mankoseb,Propineb","Kasallikka chidamli navlarni tanlang. Ekin aylantirishni qo'llang. Piyozni 3-4 yil mobaynida bir joyda ekishdan saqlaning. O'simliklar orasida yetarli masofa qoldiring."
52,piyoz_perona,piyoz,"Piyoz peronasporoz zogi","Botrytis allii","Jiddiy","Peronasporoz zogi - zamburug' qo'zg'atadigan kasallik bo'lib, piyoz piyozida va barglarida rivojlanadi. Kasallik yuqori namlikda tez tarqaladi.","Piyoz piyozida qo'ng'ir, yumshoq chirish paydo bo'ladi. Piyoz varaqlari orasida kulrang mog'or paydo bo'ladi. Kasallangan piyozlar saqlash paytida chiriydi.","1. Fungitsidlar bilan ishlov bering. 2. Piyozlarni quruq va salqin joyda saqlang. 3. Zararlangan piyozlarni darhol olib tashlang.","Iprodione,Tebukonazol,Mis oksixlorid","Kasallikka chidamli navlarni tanlang. Piyozlarni to'liq quritib olishdan so'ng saqlash. Saqlash joyida havo aylanishini ta'minlash. Piyozlarni 1-2°C haroratda saqlash."
53,piyoz_fuzarioz,piyoz,"Piyoz fuzariozi","Fusarium oxysporum","Jiddiy","Fuzarioz - zamburug' qo'zg'atadigan kasallik bo'lib, piyoz piyozida rivojlanadi. Kasallik tuproq orqali tarqaladi va saqlash paytida ham rivojlanadi.","Piyoz ildizlari va pastki qismi qo'ng'ir rangga kiradi. Piyoz yumshoq bo'lib qoladi va chiriydi. Piyoz varaqlari orasida oq-pushti mog'or paydo bo'ladi.","1. Zararlangan piyozlarni yo'q qiling. 2. Fungitsidlar bilan urug'lik ishlov berish. 3. Tuproqni dezinfeksiya qiling.","Tebukonazol,Fludioksonil,Kaptafol","Kasallikka chidamli navlarni tanlang. Ekin aylantirishni qo'llang. Piyozni 4-5 yil mobaynida bir joyda ekishdan saqlaning. Sifatli urug'lik ishlating."
54,piyoz_tripsi,piyoz,"Piyoz tripsi","Thrips tabaci","Jiddiy","Trips - hasharot zararkunandasi, u piyoz barglaridan shira so'rib oziqlanadi. Bir yilda 3-5 avlod berishi mumkin.","Barglarda kumush-oq dog'lar paydo bo'ladi. Barglar buraladi, qurib qoladi. Barglarda mayda (1-2 mm), qora-yashil hasharotlar. Hosildorlik keskin pasayadi.","1. Insektitsidlar bilan o'z vaqtida ishlov bering. 2. Mineral moylar qo'llang. 3. Trips tutqichlar o'rnating (moviy yoki sariq kartonlar).","Kaliy sulfat,Magniy sulfat,Organik o'g'itlar","Ekin aylantirishni qo'llang. Yirtqich hasharotlarni jalb qiling. Piyoz atrofidagi begona o'tlarni yo'q qiling. O'simliklarni ertalab sug'oring."
55,sabzi_alternarioz,sabzi,"Sabzi alternariozi","Alternaria dauci","Jiddiy","Alternarioz - zamburug' qo'zg'atadigan kasallik bo'lib, sabzi barglarini zararlaydi. Kasallik issiq va nam ob-havoda rivojlanadi.","Barglarda qo'ng'ir, keyinchalik qora dog'lar paydo bo'ladi. Barglar qurib qoladi. Ildizmevada dog'lar paydo bo'lib, saqlash paytida chirishi mumkin.","1. Fungitsidlar bilan o'z vaqtida ishlov bering. 2. Zararlangan o'simlik qismlarini yo'q qiling. 3. Ekinlar orasida havo aylanishini ta'minlang.","Azoksistrobin,Mis oksixlorid,Kaliy sulfat","Kasallikka chidamli navlarni tanlang. Ekin aylantirishni qo'llang. Sabzini 3-4 yil mobaynida bir joyda ekishdan saqlaning. Sifatli urug'lik ishlating."
56,sabzi_fuzarioz,sabzi,"Sabzi fuzariozi","Fusarium spp.","Jiddiy","Fuzarioz - zamburug' qo'zg'atadigan kasallik bo'lib, sabzi ildizmevalarini zararlaydi. Kasallik tuproq orqali tarqaladi va saqlash paytida ham rivojlanadi.","Ildizmevada qo'ng'ir dog'lar paydo bo'ladi. Ildizmeva ichida qora dog'lar hosil bo'ladi. Ildizmeva yumshoq bo'lib qoladi va chiriydi.","1. Zararlangan ildizmevalarni yo'q qiling. 2. Fungitsidlar bilan urug'lik ishlov berish. 3. Tuproqni dezinfeksiya qiling.","Tiofanat-metil,Fludioksonil,Gumat preparatlari","Kasallikka chidamli navlarni tanlang. Ekin aylantirishni qo'llang. Sabzini 4-5 yil mobaynida bir joyda ekishdan saqlaning. Sifatli urug'lik ishlating."
57,sabzi_bakterioz,sabzi,"Sabzi bakteriozi","Xanthomonas carotae","O'rta","Bakterioz - bakteriyalar qo'zg'atadigan kasallik bo'lib, sabzi barglarini va ildizmevalarini zararlaydi. Kasallik yuqori namlikda rivojlanadi.","Barglarda suvga to'yingan, keyinchalik qo'ng'ir dog'lar paydo bo'ladi. Barglar qurib qoladi. Ildizmevada suvli, yumshoq dog'lar paydo bo'ladi.","1. Zararlangan o'simliklarni yo'q qiling. 2. Mis tarkibli preparatlar bilan ishlov bering. 3. Antibakterial preparatlar qo'llang.","Mis oksixlorid,Streptomitsin,Kalsiy nitrat","Kasallikka chidamli navlarni tanlang. Ekin aylantirishni qo'llang. Sabzini nam joylarda ekishdan saqlaning. Sifatli urug'lik ishlating."
58,sabzi_kapalak,sabzi,"Sabzi kapalagi","Papilio polyxenes","O'rta","Sabzi kapalagi - hasharot zararkunandasi, uning qurtlari sabzi barglari va gullari bilan oziqlanadi. Bir yilda 2-3 avlod berishi mumkin.","Barglarda katta teshiklar paydo bo'ladi. Barglarda yashil-qora qurtlar va ularning chiqindilari. Barglar to'liq yeyilishi mumkin.","1. Insektitsidlar bilan o'z vaqtida ishlov bering. 2. Qurtlarni qo'lda yig'ib oling. 3. Biologik kurash vositalari (Bacillus thuringiensis) qo'llang.","Kaliy sulfat,Organik o'g'itlar,Aminokislotali o'g'itlar","Ekin aylantirishni qo'llang. Sabzini piyoz bilan aralashtirish. Qushlarni jalb qiling. Sabzi kapalagi kapalagini tutish uchun sariq tutqichlar o'rnating."
59,tarvuz_antraknoz,tarvuz,"Tarvuz antraknozu","Colletotrichum orbiculare","Jiddiy","Antraknoz - zamburug' qo'zg'atadigan kasallik bo'lib, tarvuz barglarini, poyalarini va mevalarini zararlaydi. Kasallik nam va iliq ob-havoda rivojlanadi.","Barglarda qo'ng'ir-qora dog'lar paydo bo'ladi. Barglarda teshiklar hosil bo'ladi. Mevalarda botiq, qora dog'lar paydo bo'ladi. Mevalar chiriydi.","1. Fungitsidlar bilan o'z vaqtida ishlov bering. 2. Zararlangan o'simliklarni yo'q qiling. 3. Ekinlar orasida havo aylanishini ta'minlang.","Azoksistrobin,Mis oksixlorid,Mankoseb","Kasallikka chidamli navlarni tanlang. Ekin aylantirishni qo'llang. Tarvuzni 3-4 yil mobaynida bir joyda ekishdan saqlaning. Sifatli urug'lik ishlating."
60,tarvuz_fuzarioz,tarvuz,"Tarvuz fuzariozi","Fusarium oxysporum f.sp. niveum","Juda jiddiy","Fuzarioz - zamburug' qo'zg'atadigan kasallik bo'lib, tarvuz o'simligining poyasi va ildizlarini zararlaydi. Kasallik tuproq orqali tarqaladi.","O'simlik so'lib qoladi, ayniqsa issiq kunlarda. Poyaning pastki qismida qizg'ish-qo'ng'ir dog'lar paydo bo'ladi. Poyani kesib ko'rganda, ichki qismi qo'ng'ir rangga kirganini ko'rish mumkin.","1. Zararlangan o'simliklarni yo'q qiling. 2. Fungitsidlar bilan urug'lik ishlov berish. 3. Tuproqni dezinfeksiya qiling.","Tiofanat-metil,Fludioksonil,Trichoderma preparati","Kasallikka chidamli navlarni tanlang. Ekin aylantirishni qo'llang. Tarvuzni 7-8 yil mobaynida bir joyda ekishdan saqlaning. Sifatli urug'lik ishlating."
61,tarvuz_bakterioz,tarvuz,"Tarvuz bakterial dog'lanishi","Acidovorax avenae subsp. citrulli","Jiddiy","Bakterial dog'lanish - bakteriyalar qo'zg'atadigan kasallik bo'lib, tarvuz barglarini va mevalarini zararlaydi. Kasallik yuqori namlikda rivojlanadi.","Barglarda suvga to'yingan dog'lar paydo bo'ladi. Mevalarda qoramtir-yashil, qattiq dog'lar hosil bo'ladi. Og'ir holatlarda mevalar yoriladi va chiriydi.","1. Zararlangan o'simliklarni yo'q qiling. 2. Mis tarkibli preparatlar bilan ishlov bering. 3. Antibakterial preparatlar qo'llang.","Mis oksixlorid,Streptomitsin,Kalsiy nitrat","Kasallikka chidamli navlarni tanlang. Ekin aylantirishni qo'llang. Tomchilatib sug'orish usulidan foydalaning. Sifatli urug'lik ishlating."
62,tarvuz_o'rgimchakkana,tarvuz,"Tarvuz o'rgimchakkanasi","Tetranychus urticae","Jiddiy","O'rgimchakkana - mayda zararkunanda, u tarvuz barglaridan shira so'rib oziqlanadi. Issiq va quruq ob-havoda tez ko'payadi.","Barglarda sarg'ish dog'lar paydo bo'ladi. Barglar quriydi va to'kiladi. Barglar orasida mayda (0.5 mm) sariq-yashil kanalar va ularning to'rlari. Hosildorlik keskin pasayadi.","1. Akaritsidlar bilan ishlov bering. 2. Mineral moylar qo'llang. 3. Yirtqich kanalarni qo'yib yuborish orqali biologik kurash olib boring.","Kaliy sulfat,Magniy sulfat,Organik o'g'itlar","Ekin aylantirishni qo'llang. Yirtqich hasharotlarni jalb qiling. O'simliklarni muntazam sug'oring. O'simliklarni muntazam ko'rib turish."
63,qovun_fuzarioz,qovun,"Qovun fuzariozi","Fusarium oxysporum f.sp. melonis","Juda jiddiy","Fuzarioz - zamburug' qo'zg'atadigan kasallik bo'lib, qovun o'simligining poyasi va ildizlarini zararlaydi. Kasallik tuproq orqali tarqaladi.","O'simlik so'lib qoladi, ayniqsa issiq kunlarda. Poyaning pastki qismida qizg'ish-qo'ng'ir dog'lar paydo bo'ladi. Poyani kesib ko'rganda, ichki qismi qo'ng'ir rangga kirganini ko'rish mumkin.","1. Zararlangan o'simliklarni yo'q qiling. 2. Fungitsidlar bilan urug'lik ishlov berish. 3. Tuproqni dezinfeksiya qiling.","Tiofanat-metil,Fludioksonil,Trichoderma preparati","Kasallikka chidamli navlarni tanlang. Ekin aylantirishni qo'llang. Qovunni 7-8 yil mobaynida bir joyda ekishdan saqlaning. Sifatli urug'lik ishlating."
64,qovun_un_shudring,qovun,"Qovun un-shudringi","Sphaerotheca fuliginea","Jiddiy","Un-shudring - zamburug' qo'zg'atadigan kasallik bo'lib, qovun barglarida oq kukun kabi qoplam hosil qiladi. Kasallik issiq va quruq ob-havoda tez tarqaladi.","Barglarda oq kukun kabi qoplam paydo bo'ladi, keyinchalik barglar sarg'ayib qurib qoladi. Qoplam asta-sekin bargning butun yuzasini egallaydi va o'simlikning poyalari, gullariga ham o'tadi.","1. Biostimulyatorlar bilan ishlov bering. 2. Maxsus fungitsidlar (oltingugurt preparatlari) qo'llang. 3. Zararlangan qismlarni kesib tashlang.","Oltingugurt preparatlari,Triazol fungitsidlar,Kaliy sulfat","Kasallikka chidamli navlarni tanlang. Toklarni to'g'ri butang va bog'lang. Havo aylanishini ta'minlang. Ortiqcha azotli o'g'itlar qo'llashdan saqlaning."
